LabNo,Sample,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,Random10FOV,Conc_per1g,MillionsPer1g,RelativePer1g
QR24_129_CB2,QR24_129,2,10 CB,Canti,CB,46040,Analyst 1,0.0024,100,10,Random10FOV,54,5454937.025,5.454937025,22500
QR24_129_CB3,QR24_129,3,10 CB,Canti,CB,46038,Analyst 2,0.00254,100,10,Random10FOV,44,4199776.537,4.199776537,17322.83465
QR24_129_CB3,QR24_129,3,10 CB,Canti,CB,46040,Analyst 1,0.00254,100,10,Random10FOV,47,4486124.937,4.486124937,18503.93701
QR24_129_CB4,QR24_129,4,10 CB,Canti,CB,46038,Analyst 2,0.00214,100,10,Random10FOV,31,3512005.146,3.512005146,14485.98131
QR24_129_CB4,QR24_129,4,10 CB,Canti,CB,46040,Analyst 1,0.00214,100,10,Random10FOV,43,4871491.009,4.871491009,20093.45794
QR24_129_CB5,QR24_129,5,10 CB,Canti,CB,46038,Analyst 2,0.00269,100,10,Random10FOV,36,3244572.208,3.244572208,13382.89963
QR24_129_CB5,QR24_129,5,10 CB,Canti,CB,46040,Analyst 1,0.00269,100,10,Random10FOV,49,4416223.283,4.416223283,18215.61338
QR24_134,QR24_134,1,16 SPT,Gur-Arieh,SPT,45978,Analyst 2,0.01984,10,16,138,,10539612.87,10.53961287,69556.45161
QR24_134-1,QR24_134,2,16 SPT,Gur-Arieh,SPT,46036,Analyst 1,0.01849,10,16,147,,12046688.04,12.04668804,79502.43375
QR24_134-10,QR24_134,11,16 SPT,Gur-Arieh,SPT,46044,Analyst 2,0.01929,10,16,129,,10133155.87,10.13315587,66874.02799
QR24_134-2,QR24_134,3,16 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01899,10,16,129,,10293237.32,10.29323732,67930.48973
QR24_134-3,QR24_134,4,16 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01838,10,16,109,,8986037.597,8.986037597,59303.59086
QR24_134-4,QR24_134,5,16 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01942,10,16,191,,14902920.41,14.90292041,98352.21421
QR24_134-5,QR24_134,6,16 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01968,10,16,167,,12858153.84,12.85815384,84857.72358
QR24_134-6,QR24_134,7,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01969,10,16,203,,15622033.41,15.62203341,103098.0193
QR24_134-7,QR24_134,8,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01977,10,16,154,,11803241.47,11.80324147,77895.80172
QR24_134-8,QR24_134,9,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01825,10,16,150,,12454194.12,12.45419412,82191.78082
QR24_134-9,QR24_134,10,16 SPT,Gur-Arieh,SPT,46044,Analyst 2,0.01893,10,16,139,,11126316.93,11.12631693,73428.4205
QR24_134-CB1-1,QR24_134,1,16 CB,Canti,CB,46036,Analyst 1,0.00182,100,16,124,,10323751.39,10.32375139,68131.86813
QR24_134-CB1-10,QR24_134,1,16 CB,Canti,CB,46042,Analyst 2,0.00182,100,16,122,,10157239.27,10.15723927,67032.96703
QR24_134-CB1-2,QR24_134,1,16 CB,Canti,CB,46036,Analyst 1,0.00182,100,16,133,,11073055.93,11.07305593,73076.92308
QR24_134-CB1-3,QR24_134,1,16 CB,Canti,CB,46036,Analyst 1,0.00182,100,16,125,,10407007.45,10.40700745,68681.31868
QR24_134-CB1-7,QR24_134,1,16 CB,Canti,CB,46042,Analyst 2,0.00182,100,16,160,,13320969.54,13.32096954,87912.08791
